# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 2696
  4 7.5 284 2.86001 11.5843 309.183 -0.200373 1.70335 0.331543
  5 12.5 275 4.3003 11.2483 304.952 -0.253535 2.99646 0.235418
  6 17.5 269 3.64034 11.1107 316.062 -0.394593 2.12563 -0.198699
  7 22.5 282 3.87551 11.8267 302.863 -0.65021 2.27331 -0.639701
  8 27.5 277 3.94672 10.922 298.247 -0.751016 2.51542 -1.11351
  9 32.5 268 3.44445 9.29008 301.776 -0.764584 2.20666 0.180183
  10 37.5 265 3.64121 8.04998 311.491 -0.649468 2.45232 -0.489609
  11 42.5 256 3.6491 7.62221 275.239 -0.893185 2.59584 -0.890728
  12 47.5 255 2.24724 7.78927 290.428 -1.12439 1.22332 -0.145445
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
60000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.324081 0.0510858 230.433 0.307762 0.0919583 0.0919583
  3 2.5 259 2.59225 8.43133 307.135 0.0626833 1.98955 0.251163
  4 7.5 284 2.8976 11.5843 300.159 -0.208949 1.71913 0.299736
  5 12.5 275 4.34218 11.2483 320.158 -0.262312 3.03236 -0.191105
  6 17.5 269 3.65061 11.1107 285.314 -0.393147 2.12568 -0.0788169
  7 22.5 282 3.88478 11.8267 273.816 -0.656359 2.2911 -0.635072
  8 27.5 277 3.99268 10.922 286.372 -0.753332 2.56203 -0.903781
  9 32.5 268 3.49204 9.29008 307.13 -0.797735 2.25316 -0.0606051
  10 37.5 265 3.67061 8.04998 307.49 -0.680305 2.48232 -0.476523
  11 42.5 256 3.65998 7.62221 306.539 -0.905336 2.60074 -0.92916
  12 47.5 255 2.2352 7.78927 290.204 -1.12265 1.21095 -0.127626
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
65000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.289525 0.0510858 134.458 0.262537 0.111246 0.111246
  3 2.5 259 2.60118 8.43133 305.198 0.0589418 1.99778 0.411257
  4 7.5 284 2.90461 11.5843 289.716 -0.196278 1.73423 0.359568
  5 12.5 275 4.38937 11.2483 290.942 -0.26124 3.0642 -0.0266939
  6 17.5 269 3.65886 11.1107 272.928 -0.410903 2.14236 -0.0860248
  7 22.5 282 3.91583 11.8267 289.9 -0.663508 2.30608 -0.448065
  8 27.5 277 4.02738 10.922 286.311 -0.784864 2.58913 -0.956115
  9 32.5 268 3.49669 9.29008 312.568 -0.824848 2.25153 0.126141
  10 37.5 265 3.67668 8.04998 307.362 -0.701555 2.4785 -0.518152
  11 42.5 256 3.6929 7.62221 273.074 -0.9193 2.62426 -0.923035
  12 47.5 255 2.27564 7.78927 326.402 -1.14713 1.23965 -0.128264
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
70000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.32173 0.0510858 164.163 0.294636 0.113049 0.113049
  3 2.5 259 2.59186 8.43133 286.904 0.0470633 1.98743 0.478166
  4 7.5 284 2.91971 11.5843 302.488 -0.22158 1.73813 0.365477
  5 12.5 275 4.42658 11.2483 298.207 -0.296911 3.09468 -0.181868
  6 17.5 269 3.67805 11.1107 330.324 -0.446972 2.16709 0.0520555
  7 22.5 282 3.93313 11.8267 290.043 -0.680626 2.31401 -0.486432
  8 27.5 277 4.06425 10.922 302.29 -0.787883 2.6163 -0.926912
  9 32.5 268 3.52845 9.29008 286.74 -0.818439 2.27321 0.309779
  10 37.5 265 3.67159 8.04998 286.475 -0.685532 2.47433 -0.493568
  11 42.5 256 3.67732 7.62221 303.236 -0.898842 2.60908 -0.95005
  12 47.5 255 2.27214 7.78927 302.471 -1.14005 1.24229 -0.168513
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
75000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.313678 0.0510858 91.8013 0.281167 0.124451 0.124451
  3 2.5 259 2.5983 8.43133 303.29 0.0647357 1.98992 0.260661
  4 7.5 284 2.95754 11.5843 320.358 -0.218104 1.76163 0.369367
  5 12.5 275 4.451 11.2483 328.464 -0.29686 3.11169 -0.226493
  6 17.5 269 3.69033 11.1107 298.355 -0.461761 2.17708 -0.0888857
  7 22.5 282 3.92932 11.8267 290.148 -0.690871 2.31101 -0.482449
  8 27.5 277 4.08348 10.922 288.49 -0.804152 2.6211 -0.782466
  9 32.5 268 3.56449 9.29008 291.772 -0.843768 2.30619 -0.0568846
  10 37.5 265 3.7062 8.04998 304.135 -0.719726 2.49803 -0.640738
  11 42.5 256 3.68539 7.62221 308.613 -0.931236 2.61668 -0.978804
  12 47.5 255 2.27758 7.78927 273.137 -1.15393 1.24059 -0.0926295
# Chunk-averaged data for fix fmobilestc1 and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
80000 12 2696
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.349973 0.0510858 60.8192 0.316012 0.14423 0.0702548
  3 2.5 259 2.61141 8.43133 280.099 0.0669849 2.00818 0.110483
  4 7.5 284 2.95948 11.5843 293.009 -0.234432 1.76468 0.407193
  5 12.5 275 4.46288 11.2483 284.08 -0.319479 3.12181 -0.215162
  6 17.5 269 3.7141 11.1107 296.34 -0.477177 2.18425 -0.0814818
  7 22.5 282 3.9577 11.8267 316.241 -0.70494 2.34286 -0.500763
  8 27.5 277 4.12744 10.922 340.307 -0.823586 2.66535 -0.82275
  9 32.5 268 3.59315 9.29008 273.379 -0.857467 2.32292 0.347682
  10 37.5 265 3.72644 8.04998 292.232 -0.718359 2.51148 -0.641988
  11 42.5 256 3.69835 7.62221 277.884 -0.927973 2.62148 -0.997653
  12 47.5 255 2.28779 7.78927 269.323 -1.15451 1.25179 -0.116301
