# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 1833
  3 2.5 187 2.69993 1.59217 1384.15 0.850575 2.24186 -0.14871
  4 7.5 178 2.9119 1.51555 1132.43 1.4271 2.01505 -0.320403
  5 12.5 172 4.70044 1.46446 1265.06 1.64837 3.69503 -0.535949
  6 17.5 167 3.70371 1.42189 1293.8 1.63226 2.77878 -0.559219
  7 22.5 173 3.93111 1.47297 1367.84 1.54173 2.9298 -0.312573
  8 27.5 178 3.96567 1.51555 1417.74 1.02053 3.18282 -0.104642
  9 32.5 188 3.47904 1.60069 1279.77 0.78772 2.7827 0.534764
  10 37.5 199 3.71777 1.69435 1240.81 0.637649 3.02807 -0.13856
  11 42.5 194 3.54374 1.65177 1215.47 0.415451 2.97626 -0.24405
  12 47.5 191 1.60448 1.62623 1599.87 0.0135979 1.34328 -0.0661514
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
70000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.403999 0.0510858 470.794 0.376518 0.11903 -0.019651
  3 2.5 187 2.69535 1.59217 1380.32 0.842073 2.23691 0.488919
  4 7.5 178 2.959 1.51555 1285.86 1.39109 2.0729 -0.243916
  5 12.5 172 4.70974 1.46446 1329.44 1.67709 3.69386 -0.61849
  6 17.5 167 3.73429 1.42189 1315.39 1.65369 2.79153 -0.402116
  7 22.5 173 3.93544 1.47297 1288.87 1.54203 2.92509 -0.614622
  8 27.5 178 4.0596 1.51555 1177.55 1.01748 3.25137 -0.177249
  9 32.5 188 3.53561 1.60069 1327.46 0.810568 2.82036 0.47434
  10 37.5 199 3.70533 1.69435 1380.43 0.633025 3.02223 -0.274048
  11 42.5 194 3.5404 1.65177 1208.92 0.427986 2.97087 -0.324879
  12 47.5 191 1.63139 1.62623 1242.59 0.0116733 1.37163 -0.121441
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
75000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.300389 0.0510858 1115.86 0.236154 0.18467 -0.0531784
  3 2.5 187 2.76101 1.59217 1352.78 0.85606 2.29354 -0.0265116
  4 7.5 178 2.98518 1.51555 1281.54 1.38246 2.11976 -0.218785
  5 12.5 172 4.67525 1.46446 1220.36 1.66824 3.65067 -0.536081
  6 17.5 167 3.77336 1.42189 1293.46 1.65079 2.82705 -0.603324
  7 22.5 173 3.95083 1.47297 1287.31 1.55723 2.94351 -0.679576
  8 27.5 178 4.03734 1.51555 1143.12 1.0299 3.22684 -0.225157
  9 32.5 188 3.53634 1.60069 1118.91 0.802251 2.79618 0.410829
  10 37.5 199 3.70988 1.69435 1288.44 0.628519 3.03473 0.0487831
  11 42.5 194 3.57513 1.65177 1241.72 0.413489 3.00633 -0.445235
  12 47.5 191 1.60778 1.62623 1226.45 -0.0164555 1.33811 0.0358221
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
80000 12 1833
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 6 0.317844 0.0510858 365.466 0.290314 0.126754 -0.126754
  3 2.5 187 2.72999 1.59217 1303.94 0.874843 2.26631 -0.0715591
  4 7.5 178 2.98533 1.51555 1268.06 1.433 2.0813 -0.206449
  5 12.5 172 4.76639 1.46446 1221.69 1.68941 3.73589 -0.596439
  6 17.5 167 3.74069 1.42189 1206.12 1.6308 2.78591 -0.49768
  7 22.5 173 3.92695 1.47297 1445.37 1.50418 2.92065 -0.5878
  8 27.5 178 4.11267 1.51555 1294.64 1.00027 3.30512 -0.153066
  9 32.5 188 3.56339 1.60069 1445.73 0.779228 2.81942 0.355129
  10 37.5 199 3.69903 1.69435 1341.67 0.58611 3.01849 0.239071
  11 42.5 194 3.59383 1.65177 1426.52 0.428778 3.01056 -0.295908
  12 47.5 191 1.65652 1.62623 1460.6 -0.033344 1.36053 -0.345795
# Chunk-averaged data for fix fmobileOstc1 and group mobileO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
85000 12 1833
  1 -7.5 0 0 0 0 0 0 0
