# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
0 12 600
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
45000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.15686 6.83916 1201.33 -1.95928 1.9929 -0.407832
  4 7.5 106 3.40368 10.0688 1318.03 -2.79528 1.54186 0.12397
  5 12.5 103 5.08755 9.78379 1401.22 -3.2712 3.0065 0.109705
  6 17.5 102 4.55301 9.6888 1281.88 -3.59067 2.05751 0.222112
  7 22.5 109 4.64829 10.3537 1349.69 -3.84546 1.78399 -0.43918
  8 27.5 97 5.20055 9.21386 1525.64 -3.93005 2.31941 0.128106
  9 32.5 11 6.04465 1.04487 1646.46 -3.64225 3.61041 2.81632
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
50000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.19297 6.83916 1118.97 -1.96315 2.01212 -0.471851
  4 7.5 106 3.43959 10.0688 1448.52 -2.83599 1.54267 0.136642
  5 12.5 103 5.20553 9.78379 1273.83 -3.38819 3.04015 0.00347917
  6 17.5 102 4.61837 9.6888 1306.75 -3.68446 2.02861 0.227813
  7 22.5 109 4.69982 10.3537 1292.14 -3.91938 1.76029 -0.33434
  8 27.5 97 5.2943 9.21386 1171.9 -4.01169 2.35144 -0.477936
  9 32.5 11 6.17388 1.04487 1057.04 -3.81617 3.62094 -1.84355
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
55000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.21924 6.83916 1311.26 -1.9285 2.05104 -0.442294
  4 7.5 106 3.47708 10.0688 1247.5 -2.84665 1.56743 -0.324713
  5 12.5 103 5.23168 9.78379 1370.48 -3.41395 3.01743 0.0407628
  6 17.5 102 4.632 9.6888 1467.19 -3.66735 2.08422 0.258922
  7 22.5 109 4.71395 10.3537 1285.26 -3.91618 1.81999 -0.853973
  8 27.5 97 5.32079 9.21386 1168.47 -4.0341 2.36648 0.171895
  9 32.5 11 6.19093 1.04487 1842.07 -3.83177 3.59245 2.81825
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
60000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.25903 6.83916 1273.64 -1.97116 2.09383 -0.474334
  4 7.5 106 3.49815 10.0688 1351.58 -2.82614 1.62901 -0.289562
  5 12.5 103 5.24351 9.78379 1249.52 -3.44754 2.99585 0.0547584
  6 17.5 102 4.68186 9.6888 1100.04 -3.73003 2.07756 0.299904
  7 22.5 109 4.75567 10.3537 1368.05 -3.95912 1.80434 -0.23236
  8 27.5 97 5.37447 9.21386 1309.4 -4.0792 2.41039 0.0547553
  9 32.5 11 6.18683 1.04487 1444.34 -3.78315 3.67513 -1.79542
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
65000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.2495 6.83916 1349.31 -1.98992 2.0774 -0.468587
  4 7.5 106 3.51236 10.0688 1458.57 -2.88287 1.57879 -0.310606
  5 12.5 103 5.29356 9.78379 1292.76 -3.46252 3.05496 0.0183665
  6 17.5 102 4.71042 9.6888 1256.95 -3.78226 2.03385 0.257248
  7 22.5 109 4.7566 10.3537 1308.61 -3.96549 1.75852 -0.765927
  8 27.5 97 5.36357 9.21386 1278.21 -4.08918 2.3506 -0.0405592
  9 32.5 11 6.26328 1.04487 1068.08 -3.82546 3.67014 -1.75412
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
70000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.26774 6.83916 1206.91 -1.99723 2.10441 -0.504284
  4 7.5 106 3.53481 10.0688 1262.57 -2.89057 1.60692 -0.280347
  5 12.5 103 5.29969 9.78379 1347.01 -3.50832 2.9914 -0.0544164
  6 17.5 102 4.76241 9.6888 1212.36 -3.79324 2.09998 0.27743
  7 22.5 109 4.84131 10.3537 1246.38 -4.05106 1.79039 -0.200993
  8 27.5 97 5.39702 9.21386 1304.7 -4.09048 2.35327 -0.0577834
  9 32.5 11 6.08176 1.04487 1378.05 -3.70373 3.6174 -1.90138
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vdisprms density/mass temp c_cdisp[3] v_vdispxy v_vdispxyvec
75000 12 600
  1 -7.5 0 0 0 0 0 0 0
  2 -2.5 0 0 0 0 0 0 0
  3 2.5 72 3.30186 6.83916 1392.7 -1.9857 2.16418 -0.669883
  4 7.5 106 3.53886 10.0688 1397.48 -2.88186 1.63547 -0.322558
  5 12.5 103 5.29232 9.78379 1449.34 -3.51323 2.97239 0.0662678
  6 17.5 102 4.85745 9.6888 1177.54 -3.88554 2.13297 0.279832
  7 22.5 109 4.88568 10.3537 1260.74 -4.08482 1.83946 -0.679871
  8 27.5 97 5.42185 9.21386 1179.02 -4.11184 2.39218 0.0226404
  9 32.5 11 6.22662 1.04487 1124.46 -3.73589 3.78738 -1.48892
  10 37.5 0 0 0 0 0 0 0
  11 42.5 0 0 0 0 0 0 0
  12 47.5 0 0 0 0 0 0 0
# Chunk-averaged data for fix fmobileHfstc1 and group mobileHf
# Timestep Number-of-chunks Total-count
